PLAYER;OPERATION;RESULT
321;IN from http://sofifa.com/player/172610?hl=en-GB&units=mks;OK
322;IN from http://sofifa.com/player/34079?hl=en-GB&units=mks;OK
323;IN from http://sofifa.com/player/12259?hl=en-GB&units=mks;OK
324;IN from http://sofifa.com/player/189712?hl=en-GB&units=mks;OK
325;IN from http://sofifa.com/player/225844?hl=en-GB&units=mks;OK
326;IN from http://sofifa.com/player/189908?hl=en-GB&units=mks;OK
327;IN from http://sofifa.com/player/188802?hl=en-GB&units=mks;OK
328;IN from http://sofifa.com/player/186942?hl=en-GB&units=mks;OK
329;IN from http://sofifa.com/player/177458?hl=en-GB&units=mks;OK
330;IN from http://sofifa.com/player/188567?hl=en-GB&units=mks;OK
331;IN from http://sofifa.com/player/5485?hl=en-GB&units=mks;OK
332;IN from http://sofifa.com/player/192883?hl=en-GB&units=mks;OK
333;IN from http://sofifa.com/player/195365?hl=en-GB&units=mks;OK
334;IN from http://sofifa.com/player/156616?hl=en-GB&units=mks;OK
335;IN from http://sofifa.com/player/192620?hl=en-GB&units=mks;OK
336;IN from http://sofifa.com/player/168607?hl=en-GB&units=mks;OK
337;IN from http://sofifa.com/player/205069?hl=en-GB&units=mks;OK
338;IN from http://sofifa.com/player/200215?hl=en-GB&units=mks;OK
339;IN from http://sofifa.com/player/189509?hl=en-GB&units=mks;OK
340;IN from http://sofifa.com/player/206591?hl=en-GB&units=mks;OK
341;IN from http://sofifa.com/player/107713?hl=en-GB&units=mks;OK
342;IN from http://sofifa.com/player/192563?hl=en-GB&units=mks;OK
343;IN from http://sofifa.com/player/216466?hl=en-GB&units=mks;OK
344;IN from http://sofifa.com/player/184477?hl=en-GB&units=mks;OK
345;IN from http://sofifa.com/player/167431?hl=en-GB&units=mks;OK
346;IN from http://sofifa.com/player/177457?hl=en-GB&units=mks;OK
347;IN from http://sofifa.com/player/202857?hl=en-GB&units=mks;OK
348;IN from http://sofifa.com/player/208128?hl=en-GB&units=mks;OK
349;IN from http://sofifa.com/player/137262?hl=en-GB&units=mks;OK
350;IN from http://sofifa.com/player/225636?hl=en-GB&units=mks;OK
351;IN from http://sofifa.com/player/197786?hl=en-GB&units=mks;OK
352;IN from http://sofifa.com/player/134895?hl=en-GB&units=mks;OK
353;IN from http://sofifa.com/player/176688?hl=en-GB&units=mks;OK
354;IN from http://sofifa.com/player/189246?hl=en-GB&units=mks;OK
355;IN from http://sofifa.com/player/121122?hl=en-GB&units=mks;OK
356;IN from http://sofifa.com/player/212194?hl=en-GB&units=mks;OK
357;IN from http://sofifa.com/player/182440?hl=en-GB&units=mks;OK
358;IN from http://sofifa.com/player/162927?hl=en-GB&units=mks;OK
359;IN from http://sofifa.com/player/203030?hl=en-GB&units=mks;OK
360;IN from http://sofifa.com/player/171919?hl=en-GB&units=mks;OK
361;IN from http://sofifa.com/player/198118?hl=en-GB&units=mks;OK
362;IN from http://sofifa.com/player/197083?hl=en-GB&units=mks;OK
363;IN from http://sofifa.com/player/189068?hl=en-GB&units=mks;OK
364;IN from http://sofifa.com/player/184820?hl=en-GB&units=mks;OK
365;IN from http://sofifa.com/player/199383?hl=en-GB&units=mks;OK
366;IN from http://sofifa.com/player/150532?hl=en-GB&units=mks;OK
367;IN from http://sofifa.com/player/155408?hl=en-GB&units=mks;OK
368;IN from http://sofifa.com/player/192658?hl=en-GB&units=mks;OK
369;IN from http://sofifa.com/player/186912?hl=en-GB&units=mks;OK
370;IN from http://sofifa.com/player/206511?hl=en-GB&units=mks;OK
371;IN from http://sofifa.com/player/158138?hl=en-GB&units=mks;OK
372;IN from http://sofifa.com/player/167706?hl=en-GB&units=mks;OK
373;IN from http://sofifa.com/player/194050?hl=en-GB&units=mks;OK
374;IN from http://sofifa.com/player/212462?hl=en-GB&units=mks;OK
375;IN from http://sofifa.com/player/166093?hl=en-GB&units=mks;OK
376;IN from http://sofifa.com/player/124949?hl=en-GB&units=mks;OK
377;IN from http://sofifa.com/player/190748?hl=en-GB&units=mks;OK
378;IN from http://sofifa.com/player/107647?hl=en-GB&units=mks;OK
379;IN from http://sofifa.com/player/211368?hl=en-GB&units=mks;OK
380;IN from http://sofifa.com/player/204451?hl=en-GB&units=mks;OK
381;IN from http://sofifa.com/player/143617?hl=en-GB&units=mks;OK
382;IN from http://sofifa.com/player/148518-marco-reus?hl=en-GB&units=mks;OK
383;IN from http://sofifa.com/player/135475?hl=en-GB&units=mks;OK
384;IN from http://sofifa.com/player/144010?hl=en-GB&units=mks;OK
385;IN from http://sofifa.com/player/199952?hl=en-GB&units=mks;OK
386;IN from http://sofifa.com/player/137506?hl=en-GB&units=mks;OK
387;IN from http://sofifa.com/player/143748?hl=en-GB&units=mks;OK
388;IN from http://sofifa.com/player/162220?hl=en-GB&units=mks;OK
389;IN from http://sofifa.com/player/163670?hl=en-GB&units=mks;OK
390;IN from http://sofifa.com/player/210538?hl=en-GB&units=mks;OK
391;IN from http://sofifa.com/player/143068?hl=en-GB&units=mks;OK
392;IN from http://sofifa.com/player/183346?hl=en-GB&units=mks;OK
393;IN from http://sofifa.com/player/108658?hl=en-GB&units=mks;OK
394;IN from http://sofifa.com/player/222357?hl=en-GB&units=mks;OK
395;IN from http://sofifa.com/player/203458?hl=en-GB&units=mks;OK
396;IN from http://sofifa.com/player/23461?hl=en-GB&units=mks;OK
397;IN from http://sofifa.com/player/195395?hl=en-GB&units=mks;OK
398;IN from http://sofifa.com/player/150703-jose-luis-gaya-pena?hl=en-GB&units=mks;OK
399;IN from http://sofifa.com/player/193177?hl=en-GB&units=mks;OK
400;IN from http://sofifa.com/player/52846?hl=en-GB&units=mks;OK
401;IN from http://sofifa.com/player/209523?hl=en-GB&units=mks;OK
402;IN from http://sofifa.com/player/139259?hl=en-GB&units=mks;OK
403;IN from http://sofifa.com/player/222352?hl=en-GB&units=mks;OK
404;IN from http://sofifa.com/player/142532?hl=en-GB&units=mks;OK
405;IN from http://sofifa.com/player/201119?hl=en-GB&units=mks;OK
406;IN from http://sofifa.com/player/177138?hl=en-GB&units=mks;OK
407;IN from http://sofifa.com/player/188803?hl=en-GB&units=mks;OK
408;IN from http://sofifa.com/player/188081?hl=en-GB&units=mks;OK
409;IN from http://sofifa.com/player/190483?hl=en-GB&units=mks;OK
410;IN from http://sofifa.com/player/181269?hl=en-GB&units=mks;OK
411;IN from http://sofifa.com/player/209297?hl=en-GB&units=mks;OK
412;IN from http://sofifa.com/player/202642?hl=en-GB&units=mks;OK
413;IN from http://sofifa.com/player/205525?hl=en-GB&units=mks;OK
414;IN from http://sofifa.com/player/203279?hl=en-GB&units=mks;OK
415;IN from http://sofifa.com/player/186556?hl=en-GB&units=mks;OK
416;IN from http://sofifa.com/player/187754?hl=en-GB&units=mks;OK
417;IN from http://sofifa.com/player/180826?hl=en-GB&units=mks;OK
418;-;OK
419;-;OK
420;-;OK
421;-;OK
422;-;OK
423;-;OK
424;-;OK
425;-;OK
426;-;OK
427;-;OK
428;-;OK
429;-;OK
430;-;OK
431;-;OK
432;-;OK
433;-;OK
434;-;OK
435;-;OK
436;-;OK
437;-;OK
438;-;OK
439;-;OK
440;-;OK
441;-;OK
442;-;OK
443;-;OK
444;-;OK
445;-;OK
446;-;OK
447;-;OK
448;-;OK
449;-;OK
450;-;OK
451;-;OK
452;-;OK
453;-;OK
454;-;OK
455;-;OK
456;-;OK
457;-;OK
458;-;OK
459;-;OK
460;-;OK
461;-;OK
462;IN from http://sofifa.com/player/145068-david-forde?hl=en-GB&units=mks;OK
463;IN from http://sofifa.com/player/147138-stephen-ward?hl=en-GB&units=mks;OK
464;IN from http://sofifa.com/player/147865-marc-wilson?hl=en-GB&units=mks;OK
465;IN from http://sofifa.com/player/146903-sean-st-ledger?hl=en-GB&units=mks;OK
466;IN from http://sofifa.com/player/146424-stephen-kelly?hl=en-GB&units=mks;OK
467;IN from http://sofifa.com/player/147365-aiden-mcgeady?hl=en-GB&units=mks;OK
468;IN from http://sofifa.com/player/149048-james-mccarthy?hl=en-GB&units=mks;OK
469;IN from http://sofifa.com/player/146553-glenn-whelan?hl=en-GB&units=mks;OK
470;IN from http://sofifa.com/player/146438-jonathan-walters?hl=en-GB&units=mks;OK
471;IN from http://sofifa.com/player/147658-shane-long?hl=en-GB&units=mks;OK
472;IN from http://sofifa.com/player/148208-anthony-stokes?hl=en-GB&units=mks;OK
473;IN from http://sofifa.com/player/148315-alex-pearce?hl=en-GB&units=mks;OK
474;IN from http://sofifa.com/player/145565-john-oshea?hl=en-GB&units=mks;OK
475;IN from http://sofifa.com/player/148286-seamus-coleman?hl=en-GB&units=mks;OK
476;IN from http://sofifa.com/player/147319-joey-obrien?hl=en-GB&units=mks;OK
477;IN from http://sofifa.com/player/146275-paul-green?hl=en-GB&units=mks;OK
478;IN from http://sofifa.com/player/148479-james-mcclean?hl=en-GB&units=mks;OK
479;IN from http://sofifa.com/player/145950-wes-hoolahan?hl=en-GB&units=mks;OK
480;IN from http://sofifa.com/player/146020-andy-reid?hl=en-GB&units=mks;OK
481;IN from http://sofifa.com/player/145269-robbie-keane?hl=en-GB&units=mks;OK
482;IN from http://sofifa.com/player/146436-kevin-doyle?hl=en-GB&units=mks;OK
483;IN from http://sofifa.com/player/146837-keiren-westwood?hl=en-GB&units=mks;OK
484;IN from http://sofifa.com/player/147391-rob-elliot?hl=en-GB&units=mks;OK
485;IN from http://sofifa.com/player/146970-david-marshall?hl=en-GB&units=mks;OK
486;IN from http://sofifa.com/player/146708-steven-whittaker?hl=en-GB&units=mks;OK
487;IN from http://sofifa.com/player/145428-gordon-greer?hl=en-GB&units=mks;OK
488;IN from http://sofifa.com/player/147275-russell-martin?hl=en-GB&units=mks;OK
489;IN from http://sofifa.com/player/146875-alan-hutton?hl=en-GB&units=mks;OK
490;IN from http://sofifa.com/player/148004-ikechi-anya?hl=en-GB&units=mks;OK
491;IN from http://sofifa.com/player/147082-scott-brown?hl=en-GB&units=mks;OK
492;IN from http://sofifa.com/player/147250-charlie-adam?hl=en-GB&units=mks;OK
493;IN from http://sofifa.com/player/147581-craig-bryson?hl=en-GB&units=mks;OK
494;IN from http://sofifa.com/player/147886-robert-snodgrass?hl=en-GB&units=mks;OK
495;IN from http://sofifa.com/player/147528-steven-naismith?hl=en-GB&units=mks;OK
496;IN from http://sofifa.com/player/146937-christophe-berra?hl=en-GB&units=mks;OK
497;IN from http://sofifa.com/player/150263-andrew-robertson?hl=en-GB&units=mks;OK
498;IN from http://sofifa.com/player/147916-james-mcarthur?hl=en-GB&units=mks;OK
499;IN from http://sofifa.com/player/148702-barry-bannan?hl=en-GB&units=mks;OK
500;IN from http://sofifa.com/player/147416-james-morrison?hl=en-GB&units=mks;OK
501;IN from http://sofifa.com/player/147336-charlie-mulgrew?hl=en-GB&units=mks;OK
502;IN from http://sofifa.com/player/149285-james-forrest?hl=en-GB&units=mks;OK
503;IN from http://sofifa.com/player/147028-craig-conway?hl=en-GB&units=mks;OK
504;IN from http://sofifa.com/player/146511-chris-burke?hl=en-GB&units=mks;OK
505;IN from http://sofifa.com/player/147721-steven-fletcher?hl=en-GB&units=mks;OK
506;IN from http://sofifa.com/player/145965-matt-gilks?hl=en-GB&units=mks;OK
507;IN from http://sofifa.com/player/145841-allan-mcgregor?hl=en-GB&units=mks;OK
508;IN from http://sofifa.com/player/147660-wayne-hennessey?hl=en-GB&units=mks;OK
509;IN from http://sofifa.com/player/148405-neil-taylor?hl=en-GB&units=mks;OK
510;IN from http://sofifa.com/player/146776-ashley-williams?hl=en-GB&units=mks;OK
511;IN from http://sofifa.com/player/146410-james-collins?hl=en-GB&units=mks;OK
512;IN from http://sofifa.com/player/148569-chris-gunter?hl=en-GB&units=mks;OK
513;IN from http://sofifa.com/player/148564-gareth-bale?hl=en-GB&units=mks;OK
514;IN from http://sofifa.com/player/148805-joe-allen?hl=en-GB&units=mks;OK
515;IN from http://sofifa.com/player/147657-joe-ledley?hl=en-GB&units=mks;OK
516;IN from http://sofifa.com/player/148508-hal-robson-kanu?hl=en-GB&units=mks;OK
517;IN from http://sofifa.com/player/149092-aaron-ramsey?hl=en-GB&units=mks;OK
518;IN from http://sofifa.com/player/148661-sam-vokes?hl=en-GB&units=mks;OK
519;IN from http://sofifa.com/player/144934-danny-gabbidon?hl=en-GB&units=mks;OK
520;IN from http://sofifa.com/player/145729-sam-ricketts?hl=en-GB&units=mks;OK
521;IN from http://sofifa.com/player/149942-ben-davies?hl=en-GB&units=mks;OK
522;IN from http://sofifa.com/player/148304-andy-king?hl=en-GB&units=mks;OK
523;IN from http://sofifa.com/player/148277-jack-collison?hl=en-GB&units=mks;OK
524;IN from http://sofifa.com/player/146224-david-vaughan?hl=en-GB&units=mks;OK
525;IN from http://sofifa.com/player/146690-andrew-crofts?hl=en-GB&units=mks;OK
526;IN from http://sofifa.com/player/150110-jonathan-williams?hl=en-GB&units=mks;OK
527;IN from http://sofifa.com/player/148346-simon-church?hl=en-GB&units=mks;OK
528;IN from http://sofifa.com/player/147280-craig-davies?hl=en-GB&units=mks;OK
