PLAYER;OPERATION;RESULT
71;IN from http://sofifa.com/player/150815-hector-hernandez-marrero?hl=en-GB&units=mks;OK
72;IN from http://sofifa.com/player/146633-miguel-angel-moya-rumbo?hl=en-GB&units=mks;OK
73;IN from http://sofifa.com/player/146477-jeremy-mathieu?hl=en-GB&units=mks;OK
74;IN from http://sofifa.com/player/149112-marc-bartra-aregall?hl=en-GB&units=mks;OK
75;IN from http://sofifa.com/player/146840-adriano-correia-claro?hl=en-GB&units=mks;OK
76;IN from http://sofifa.com/player/149201-martin-montoya-torralbo?hl=en-GB&units=mks;OK
77;IN from http://sofifa.com/player/148950-douglas-pereira-dos-santos?hl=en-GB&units=mks;OK
78;IN from http://sofifa.com/player/149500-sergio-roberto-carnicer?hl=en-GB&units=mks;OK
79;IN from http://sofifa.com/player/149871-rafael-alcantara?hl=en-GB&units=mks;OK
80;IN from http://sofifa.com/player/150802-munir-el-haddadi?hl=en-GB&units=mks;OK
81;IN from http://sofifa.com/player/149583-marc-andre-ter-stegen?hl=en-GB&units=mks;OK
82;IN from http://sofifa.com/player/148799-asier-illarramendi?hl=en-GB&units=mks;OK
83;IN from http://sofifa.com/player/148750-jose-ignacio-fernandez-iglesias?hl=en-GB&units=mks;OK
84;IN from http://sofifa.com/player/149880-derik-osede-prieto?hl=en-GB&units=mks;OK
85;IN from http://sofifa.com/player/149875-lucas-silva-borges?hl=en-GB&units=mks;OK
86;IN from http://sofifa.com/player/149885-jese-rodriguez-ruiz?hl=en-GB&units=mks;OK
87;IN from http://sofifa.com/player/149574-francisco-roman-alarcon-suarez?hl=en-GB&units=mks;OK
88;IN from http://sofifa.com/player/146192-alvaro-arbeloa-coca?hl=en-GB&units=mks;OK
89;IN from http://sofifa.com/player/147620-keylor-navas?hl=en-GB&units=mks;OK
90;IN from http://sofifa.com/player/147081-diego-alves-carreira?hl=en-GB&units=mks;OK
91;IN from http://sofifa.com/player/150308-ruben-miguel-nunes-vezo?hl=en-GB&units=mks;OK
92;IN from http://sofifa.com/player/147799-antonio-barragan-fernandez?hl=en-GB&units=mks;OK
93;IN from http://sofifa.com/player/150039-andre-filipe-tavares-gomes?hl=en-GB&units=mks;OK
94;IN from http://sofifa.com/player/146544-javier-fuego-martinez?hl=en-GB&units=mks;OK
95;IN from http://sofifa.com/player/148473-daniel-parejo-munoz?hl=en-GB&units=mks;OK
96;IN from http://sofifa.com/player/148457-pablo-piatti?hl=en-GB&units=mks;OK
97;IN from http://sofifa.com/player/150070-francisco-alcacer-garcia?hl=en-GB&units=mks;OK
98;IN from http://sofifa.com/player/148044-nicolas-otamendi?hl=en-GB&units=mks;OK
99;IN from http://sofifa.com/player/148401-lucas-orban?hl=en-GB&units=mks;OK
100;IN from http://sofifa.com/player/150695-salvador-ruiz-rodriguez?hl=en-GB&units=mks;OK
101;IN from http://sofifa.com/player/150340-joao-pedro-cavaco-cancelo?hl=en-GB&units=mks;OK
102;IN from http://sofifa.com/player/150690-carlos-carbonell-gil?hl=en-GB&units=mks;OK
103;IN from http://sofifa.com/player/150052-filipe-augusto-carvalho-souza?hl=en-GB&units=mks;OK
104;IN from http://sofifa.com/player/150337-rodrigo-de-paul?hl=en-GB&units=mks;OK
105;IN from http://sofifa.com/player/149632-daniel-ramirez-fernandez?hl=en-GB&units=mks;OK
106;IN from http://sofifa.com/player/147138-alvaro-negredo-sanchez?hl=en-GB&units=mks;OK
107;IN from http://sofifa.com/player/149162-rodrigo-moreno-machado?hl=en-GB&units=mks;OK
108;IN from http://sofifa.com/player/148242-yoel-rodriguez-oterino?hl=en-GB&units=mks;OK
109;IN from http://sofifa.com/player/150072-sergio-rico-gonzalez?hl=en-GB&units=mks;OK
110;IN from http://sofifa.com/player/147268-benoit-tremoulinas?hl=en-GB&units=mks;OK
111;IN from http://sofifa.com/player/148218-daniel-filipe-martins-carrico?hl=en-GB&units=mks;OK
112;IN from http://sofifa.com/player/146559-nicolas-pareja?hl=en-GB&units=mks;OK
113;IN from http://sofifa.com/player/147752-jorge-andujar-moreno?hl=en-GB&units=mks;OK
114;IN from http://sofifa.com/player/148017-vicente-iborra-de-la-fuente?hl=en-GB&units=mks;OK
115;IN from http://sofifa.com/player/148673-victor-machin-perez?hl=en-GB&units=mks;OK
116;IN from http://sofifa.com/player/148182-ever-banega?hl=en-GB&units=mks;OK
117;IN from http://sofifa.com/player/148600-aleix-vidal-parreu?hl=en-GB&units=mks;OK
118;IN from http://sofifa.com/player/148488-alejandro-arribas-garrido?hl=en-GB&units=mks;OK
119;IN from http://sofifa.com/player/149371-thimothee-kolodziejczak?hl=en-GB&units=mks;OK
120;IN from http://sofifa.com/player/149279-diogo-jose-figueiras?hl=en-GB&units=mks;OK
121;IN from http://sofifa.com/player/145986-fernando-navarro-corbacho?hl=en-GB&units=mks;OK
122;IN from http://sofifa.com/player/150063-sebastian-cristoforo?hl=en-GB&units=mks;OK
123;IN from http://sofifa.com/player/150265-gerard-deulofeu-lazaro?hl=en-GB&units=mks;OK
124;IN from http://sofifa.com/player/146419-jose-antonio-reyes-calderon?hl=en-GB&units=mks;OK
125;IN from http://sofifa.com/player/150199-denis-suarez-fernandez?hl=en-GB&units=mks;OK
126;IN from http://sofifa.com/player/147849-iago-aspas-juncal?hl=en-GB&units=mks;OK
127;IN from http://sofifa.com/player/147765-kevin-gameiro?hl=en-GB&units=mks;OK
128;IN from http://sofifa.com/player/149922-david-soria-solis?hl=en-GB&units=mks;OK
